Easting,Northing,Depth (Proc),Primary Depth,Secondary Depth
146267.345,6834625.478,6.068,10.778,10.809
146267.373,6834625.507,6.064,10.777,10.816
146267.414,6834625.535,6.060,10.779,10.823
146267.446,6834625.558,6.083,10.806,10.830
146267.482,6834625.574,6.072,10.798,10.835
146267.522,6834625.589,6.083,10.815,10.841
146267.565,6834625.598,6.092,10.827,10.845
146267.617,6834625.606,6.111,10.850,10.850
146267.664,6834625.608,6.136,10.879,10.858
146267.714,6834625.596,6.118,10.864,10.867
146267.765,6834625.592,6.102,10.852,10.874
146267.815,6834625.580,6.102,10.854,10.881
146267.869,6834625.563,6.123,10.878,10.888
146267.921,6834625.532,6.111,10.870,10.894
146267.975,6834625.520,6.109,10.870,10.899
146268.024,6834625.490,6.108,10.872,10.913
146268.065,6834625.474,6.106,10.873,10.920
146268.109,6834625.450,6.116,10.886,10.921
146268.149,6834625.421,6.117,10.889,10.924
146268.190,6834625.398,6.115,10.888,10.929
146268.215,6834625.395,6.124,10.899,10.938
146268.239,6834625.380,6.119,10.894,10.945
146268.264,6834625.371,6.114,10.888,10.940
146268.282,6834625.382,6.110,10.882,10.933
146268.300,6834625.394,6.115,10.885,10.930
146268.315,6834625.411,6.119,10.886,10.928
146268.329,6834625.429,6.114,10.876,10.925
146268.345,6834625.466,6.113,10.870,10.917
146268.360,6834625.490,6.121,10.871,10.910
146268.382,6834625.539,6.114,10.858,10.903
146268.408,6834625.588,6.109,10.845,10.897
146268.435,6834625.643,6.111,10.838,10.893
146268.474,6834625.697,6.115,10.835,10.887
146268.505,6834625.752,6.113,10.825,10.883
146268.548,6834625.805,6.123,10.825,10.880
146268.596,6834625.864,6.109,10.804,10.875
146268.644,6834625.917,6.113,10.801,10.865
146268.699,6834625.963,6.111,10.793,10.852
146268.751,6834626.010,6.117,10.794,10.849
146268.818,6834626.048,6.117,10.789,10.849
146268.877,6834626.081,6.137,10.807,10.848
146268.935,6834626.107,6.102,10.770,10.847
146268.992,6834626.127,6.109,10.777,10.845
146269.048,6834626.135,6.113,10.782,10.844
146269.113,6834626.148,6.109,10.781,10.844
146269.157,6834626.156,6.102,10.777,10.844
146269.200,6834626.159,6.099,10.778,10.847
146269.241,6834626.148,6.102,10.786,10.849
146269.275,6834626.145,6.115,10.804,10.855
146269.308,6834626.136,6.119,10.815,10.864
146269.337,6834626.127,6.111,10.815,10.874
146269.362,6834626.118,6.099,10.807,10.883
146269.383,6834626.116,6.098,10.814,10.889
146269.404,6834626.107,6.096,10.816,10.894
146269.420,6834626.106,6.092,10.818,10.896
146269.433,6834626.105,6.090,10.823,10.898
146269.451,6834626.109,6.094,10.830,10.903
146269.468,6834626.114,6.118,10.858,10.907
146269.482,6834626.126,6.103,10.846,10.911
146269.496,6834626.137,6.117,10.864,10.916
146269.515,6834626.154,6.106,10.854,10.920
146269.542,6834626.177,6.100,10.849,10.925
146269.557,6834626.202,6.129,10.879,10.929
146269.581,6834626.225,6.100,10.851,10.932
146269.605,6834626.248,6.109,10.860,10.932
146269.629,6834626.278,6.107,10.858,10.931
146269.656,6834626.301,6.114,10.864,10.929
146269.681,6834626.337,6.113,10.862,10.927
146269.713,6834626.359,6.110,10.858,10.926
146269.741,6834626.389,6.119,10.866,10.924
146269.778,6834626.411,6.111,10.857,10.922
146269.815,6834626.446,6.109,10.852,10.921
146269.846,6834626.462,6.106,10.847,10.919
146269.883,6834626.484,6.123,10.862,10.918
146269.923,6834626.506,6.112,10.848,10.917
146269.964,6834626.528,6.124,10.857,10.917
146270.017,6834626.554,6.115,10.844,10.917
146270.079,6834626.581,6.123,10.846,10.914
146270.132,6834626.601,6.111,10.831,10.910
146270.181,6834626.622,6.115,10.831,10.909
146270.238,6834626.636,6.116,10.829,10.910
146270.292,6834626.663,6.109,10.818,10.905
146270.367,6834626.688,6.103,10.807,10.900
146270.428,6834626.707,6.105,10.806,10.897
146270.493,6834626.720,6.109,10.808,10.892
146270.560,6834626.746,6.116,10.812,10.883
146270.625,6834626.765,6.116,10.810,10.876
146270.709,6834626.796,6.117,10.810,10.871
146270.774,6834626.802,6.130,10.822,10.870
146270.840,6834626.828,6.119,10.811,10.870
146270.907,6834626.854,6.126,10.819,10.871
146270.969,6834626.880,6.125,10.818,10.873
146271.035,6834626.899,6.130,10.825,10.876
146271.088,6834626.920,6.127,10.823,10.881
146271.137,6834626.947,6.128,10.826,10.886
146271.182,6834626.975,6.158,10.858,10.893
146271.220,6834627.009,6.134,10.836,10.900
146271.264,6834627.031,6.140,10.845,10.911
146271.293,6834627.060,6.145,10.852,10.914
146271.317,6834627.090,6.152,10.861,10.916
146271.337,6834627.120,6.163,10.875,10.920
146271.352,6834627.150,6.149,10.865,10.924
146271.368,6834627.174,6.150,10.869,10.929
146271.375,6834627.206,6.155,10.878,10.935
146271.382,6834627.237,6.163,10.890,10.941
146271.384,6834627.262,6.195,10.925,10.952
146271.387,6834627.288,6.174,10.909,10.971
146271.395,6834627.325,6.175,10.914,10.993
146271.398,6834627.357,6.181,10.924,11.011
146271.405,6834627.388,6.186,10.933,11.021
146271.421,6834627.419,6.180,10.931,11.032
146271.432,6834627.450,6.189,10.943,11.026
146271.455,6834627.467,6.209,10.964,11.018
146271.479,6834627.496,6.202,10.959,11.013
146271.516,6834627.525,6.205,10.961,11.010
146271.566,6834627.559,6.220,10.976,11.011
146271.615,6834627.580,6.220,10.973,11.015
146271.677,6834627.606,6.212,10.963,11.023
146271.743,6834627.631,6.220,10.966,11.034
146271.818,6834627.650,6.232,10.973,11.033
146271.897,6834627.681,6.236,10.974,11.026
146271.997,6834627.703,6.235,10.966,11.019
146272.089,6834627.726,6.243,10.968,11.009
146272.177,6834627.756,6.239,10.960,11.002
146272.268,6834627.773,6.258,10.974,11.001
146272.360,6834627.797,6.249,10.962,11.006
146272.448,6834627.820,6.252,10.962,11.014
146272.557,6834627.855,6.257,10.964,11.022
146272.636,6834627.873,6.261,10.967,11.031
146272.719,6834627.890,6.262,10.967,11.030
146272.794,6834627.922,6.262,10.969,11.028
146272.873,6834627.946,6.269,10.977,11.028
146272.932,6834627.979,6.272,10.982,11.032
146272.985,6834627.999,6.279,10.991,11.037
146273.031,6834628.040,6.283,10.998,11.044
146273.072,6834628.068,6.297,11.014,11.059
146273.110,6834628.103,6.304,11.023,11.067
