Easting,Northing,Depth (Proc),Primary Depth,Secondary Depth
146273.143,6834628.144,6.354,11.075,11.033
146273.169,6834628.187,6.361,11.084,11.034
146273.190,6834628.229,6.396,11.120,11.044
146273.211,6834628.272,6.396,11.120,11.062
146273.231,6834628.309,6.395,11.120,11.074
146273.257,6834628.357,6.388,11.112,11.059
146273.287,6834628.399,6.383,11.105,11.062
146273.312,6834628.435,6.382,11.103,11.063
146273.345,6834628.477,6.386,11.105,11.064
146273.374,6834628.506,6.395,11.111,11.068
146273.421,6834628.553,6.403,11.117,11.071
146273.458,6834628.581,6.410,11.120,11.071
146273.499,6834628.616,6.416,11.124,11.070
146273.544,6834628.637,6.414,11.119,11.065
146273.589,6834628.665,6.412,11.114,11.063
146273.643,6834628.698,6.413,11.113,11.064
146273.697,6834628.725,6.418,11.116,11.075
146273.750,6834628.745,6.425,11.122,11.063
146273.808,6834628.772,6.432,11.127,11.073
146273.870,6834628.792,6.437,11.131,11.077
146273.928,6834628.818,6.441,11.135,11.077
146273.997,6834628.831,6.453,11.148,11.062
146274.072,6834628.862,6.469,11.164,11.062
146274.138,6834628.881,6.505,11.202,11.064
146274.205,6834628.913,6.451,11.149,11.072
146274.276,6834628.939,6.444,11.143,11.064
146274.346,6834628.964,6.456,11.157,11.068
146274.432,6834629.007,6.459,11.162,11.081
146274.498,6834629.039,6.450,11.154,11.073
146274.575,6834629.076,6.440,11.147,11.081
146274.642,6834629.115,6.443,11.152,11.078
146274.718,6834629.152,6.449,11.160,11.084
146274.800,6834629.202,6.448,11.162,11.096
146274.876,6834629.240,6.458,11.173,11.093
146274.947,6834629.271,6.449,11.167,11.105
146275.019,6834629.316,6.439,11.160,11.095
146275.100,6834629.359,6.435,11.158,11.098
146275.166,6834629.385,6.432,11.157,11.110
146275.238,6834629.423,6.428,11.155,11.109
146275.305,6834629.448,6.429,11.157,11.107
146275.367,6834629.481,6.432,11.162,11.119
146275.429,6834629.507,6.438,11.168,11.118
146275.492,6834629.533,6.442,11.173,11.102
146275.563,6834629.571,6.443,11.174,11.115
146275.617,6834629.591,6.443,11.174,11.117
146275.670,6834629.618,6.444,11.174,11.112
146275.728,6834629.645,6.444,11.173,11.111
146275.782,6834629.678,6.444,11.171,11.118
146275.836,6834629.705,6.445,11.170,11.119
146275.886,6834629.732,6.446,11.169,11.123
146275.935,6834629.759,6.450,11.170,11.121
146275.982,6834629.800,6.455,11.172,11.121
146276.023,6834629.834,6.463,11.177,11.119
146276.070,6834629.875,6.472,11.184,11.120
146276.117,6834629.928,6.506,11.216,11.124
146276.152,6834629.976,6.516,11.223,11.144
146276.191,6834630.029,6.521,11.227,11.125
146276.230,6834630.077,6.505,11.210,11.152
146276.269,6834630.137,6.502,11.206,11.152
146276.318,6834630.203,6.499,11.203,11.145
146276.358,6834630.263,6.498,11.203,11.152
146276.402,6834630.316,6.502,11.207,11.176
146276.441,6834630.377,6.506,11.213,11.180
146276.499,6834630.442,6.512,11.220,11.180
146276.551,6834630.494,6.517,11.227,11.185
